Motif_id	Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Feature_11	Feature_12	Feature_13	Feature_14	Feature_15	Feature_16	Feature_17	Feature_18	Feature_19	Feature_20	Feature_21	Feature_22	Feature_23	Feature_24	Feature_25	Feature_26	Feature_27	Feature_28	Feature_29	Feature_30	Feature_31	Feature_32	Feature_33	Feature_34	Feature_35	Feature_36	Feature_37	Feature_38	Feature_39	Feature_40	Feature_41	Feature_42	Feature_43	Feature_44	Feature_45	Feature_46	Feature_47	Feature_48	Feature_49	Feature_50	Feature_51	Feature_52	Feature_53	Feature_54	Feature_55	Feature_56	Feature_57	Feature_58	Feature_59	Feature_60	Feature_61	Feature_62	Feature_63	Feature_64	Feature_65	Feature_66	Feature_67	Feature_68	Feature_69	Feature_70	Feature_71	Feature_72	Feature_73	Feature_74	Feature_75	Feature_76	Feature_77	Feature_78	Feature_79	Feature_80	Feature_81	Feature_82	Feature_83	Feature_84	Feature_85	Feature_86	Feature_87	Feature_88	Feature_89	Feature_90	Feature_91	Feature_92	Feature_93	Feature_94	Feature_95	Feature_96	Feature_97	Feature_98	Feature_99	Feature_100	Feature_101	Feature_102	Feature_103	Feature_104	Feature_105	Feature_106	Feature_107	Feature_108	Feature_109	Feature_110	Feature_111	Feature_112	Feature_113	Feature_114	Feature_115	Feature_116	Feature_117	Feature_118	Feature_119	Feature_120	Feature_121	Feature_122	Feature_123	Feature_124	Feature_125	Feature_126	Feature_127	Feature_128	Family_label	Cluster_id
5T2A_B:703-709_945-949	1.752098	3.135493	1.420029	0.695838	0.235983	-0.00012	-0.011197	5.084956	-0.019179	3.423379	-0.009785	-0.003519	-0.007026	-0.005837	3.859187	-0.02443	-0.025369	2.597284	-0.02079	0.422584	2.689992	1.957668	-0.017995	1.417171	-0.017547	-0.026434	0.927086	-0.011002	-0.032564	-0.02302	-0.016652	-0.006139	0.148833	-0.004652	-0.003616	2.55539	1.755101	-0.018178	0.461629	2.525088	0.830266	5.026827	3.671924	-0.006073	0.392507	2.264074	0.795887	1.042553	-0.011671	-0.014935	-0.007039	-0.013085	4.549964	-0.024353	-0.012683	0.078281	5.230097	6.15569	4.172908	-0.018486	2.306259	6.322145	-0.030095	-0.026189	-0.016078	-0.002562	-0.016818	3.334606	-0.018092	-0.001936	4.794382	-0.007404	0.712962	4.823839	1.676456	2.480239	3.880164	0.972539	-0.001316	-0.025792	0.610169	1.91446	-0.010633	-0.013468	-0.013339	2.771817	2.928122	1.917446	-0.002774	2.322884	-0.008759	0.505006	0.272376	7.910318	2.433221	0.267054	-0.018527	2.663451	1.637437	0.180174	-0.007335	0.276281	-0.026438	2.474542	4.789084	0.305805	2.916156	-0.010697	-0.032453	-0.00058	0.343764	-0.012734	0.041353	-0.012227	-0.022104	-0.001039	3.367819	2.377741	2.714995	2.008811	-0.0144	3.526319	6.052706	2.836695	-0.005095	-0.02207	-0.017031	-0.024905	IL	100
4IOA_X:2615-2619_2754-2762	-0.012325	2.461857	-0.003692	-0.001948	-0.002148	1.220823	-0.009027	1.509519	-0.014523	1.729236	-0.017457	0.932926	-0.006189	-0.009141	4.88496	-0.007361	-0.007855	1.354696	0.2426	-0.012552	3.238946	1.567228	-0.003277	0.868129	-0.003168	-0.013363	1.725843	-0.028432	-0.001247	-0.008141	-0.021742	-0.022368	-0.002661	-0.014801	-0.003323	-0.001177	-0.009825	-0.017873	0.651705	0.757129	-0.007536	3.337556	1.554318	-0.006888	-0.013165	1.841712	0.06722	-0.006727	-0.001897	-0.019321	-0.010508	-0.002745	3.210946	-0.01202	0.062919	-0.003194	4.433495	0.191717	2.373462	-0.011179	0.12346	-0.012473	-0.021527	-0.024995	-0.025585	-0.018935	-0.016382	3.464714	-0.003068	-0.008953	3.724819	0.456923	-0.008975	2.011229	-0.00326	2.522371	1.060131	1.245959	1.315784	-0.00497	-0.006284	1.889465	0.836025	-0.011441	-0.012909	2.750482	2.319693	1.18996	0.900797	1.929935	-0.001377	1.767941	-0.01361	4.660217	0.663627	0.775853	-0.009331	3.931828	2.037894	-0.008364	-0.010068	-0.007984	-0.019463	0.886698	3.602021	-0.006648	1.96198	-0.018623	-0.007135	0.453027	-0.00302	-0.00927	-0.009576	-0.013002	-0.025308	-0.005327	-0.000134	0.618211	2.562339	3.370335	-0.011011	2.902491	1.472752	4.464629	-0.017788	-0.020465	1.16237	-0.022031	IL	45
4W29_AX:49-51_63-65	-0.011423	-0.024165	2.995703	2.801745	1.012299	0.865943	-0.005556	2.418129	0.943627	-0.000535	-0.003523	0.10905	-0.03205	1.283685	-0.015761	1.767842	-0.01177	-0.013301	-0.006203	2.358636	-0.031866	-0.022935	-0.016966	-0.016634	1.771499	1.034344	-0.010354	-0.011237	3.232843	-0.002643	-0.015403	-0.011151	-0.016404	3.241526	2.102118	-0.000795	-0.015336	-0.004199	1.035975	0.095216	-0.005293	0.360475	1.715355	-0.009449	-0.002002	2.729467	-0.002892	-0.011321	1.414081	2.880884	-0.021359	-0.005553	-0.016189	0.813921	1.263715	1.247225	-0.030392	-0.01836	0.530229	3.048645	-0.015403	1.682648	-0.015024	2.110333	0.877154	-0.001484	0.741909	-0.027888	1.602726	-0.02431	-0.018683	0.091671	-0.007706	-0.017396	-0.00873	-0.013843	1.776445	0.436581	-0.017511	3.250865	1.289434	-0.014512	-0.001502	-0.012641	2.003233	-0.007367	-0.025999	-0.011187	-0.008226	-0.00333	-0.016759	0.651291	-0.011633	-0.018163	-0.024157	-0.015734	-0.01292	-0.014211	0.823001	2.190053	0.570598	-0.004336	-0.018961	-0.019508	-0.018569	-0.00388	1.897737	-0.019194	1.653432	-0.002208	-0.011619	-0.007749	-0.00496	1.775703	2.9673	-0.009619	0.940069	-0.018021	0.888591	-0.022306	-0.011197	-0.02158	-0.00843	-0.011935	2.377791	-0.004682	-0.005669	1.86023	IL	157
6HA1_A:1827-1833_1842-1850	1.664965	2.060224	-0.005495	-0.009388	-0.002186	-0.010965	-0.013638	-0.001877	-0.015271	3.9654	-0.002101	-0.002106	-0.012475	-0.000634	5.027547	-0.021558	-0.021715	1.896594	-0.005749	-0.012651	3.268273	2.875415	-0.016445	-0.006444	-0.013787	-0.025754	-0.004758	-0.035197	-0.016655	-0.019229	-0.029558	-0.018673	-0.009755	0.565869	1.115032	-0.007104	0.577002	-0.019034	2.037704	2.480015	-0.00778	4.155206	0.855247	-0.027172	-0.003569	3.203693	3.055224	0.096746	-0.014777	-0.023099	-0.025423	-0.003296	1.164738	-0.001639	-0.026061	-0.003082	2.239431	0.468126	4.40565	-0.017012	0.428751	1.323082	-0.035959	-0.042425	-0.022923	-0.00882	0.292686	3.723969	-0.007195	-0.02311	6.002317	1.547091	-0.013297	0.670705	-0.001042	2.522642	3.2563	1.146817	2.308599	-0.022168	-0.015567	2.846668	-0.013472	-0.01488	0.915154	1.836623	1.844858	1.860542	0.925963	2.677141	-0.025564	1.927202	0.245234	7.158282	0.772804	1.202262	-0.000359	3.852662	2.356382	-0.013099	-0.016326	0.824045	-0.028508	-0.003031	2.514499	-0.016001	1.298756	-0.018786	-0.013654	-0.004335	-0.022733	-0.000703	-0.020355	-0.009873	-0.033295	-0.017165	0.447567	2.564545	2.966726	3.166927	0.420812	1.364004	3.558366	5.591629	-0.008869	-0.025061	1.852419	-0.020919	IL	218
3J9M_AA:1208-1209_1355-1357	-0.00431	-0.025042	3.374985	2.352181	1.017673	0.533733	-0.01193	2.350365	0.45425	-0.017374	-0.003239	0.277549	-0.025279	0.637778	-0.019805	2.321321	0.148607	-0.010624	-0.004513	3.663432	-0.036886	-0.013487	-0.023309	1.450225	1.592394	0.187561	-0.006706	0.941644	3.72048	-0.008189	-0.001698	-0.01704	-0.011036	2.210567	0.629875	0.06349	-0.005995	0.262697	0.644382	-0.004472	-0.003156	1.325445	2.507962	-0.012233	-0.003673	2.578776	-0.012671	-0.018261	3.036789	3.457738	-0.021069	-0.007165	-0.032292	2.036879	1.705213	0.60842	-0.02344	-0.005775	-0.000281	2.594764	-0.003957	2.885813	0.676332	3.920823	1.398063	2.956008	0.901241	-0.03737	3.541285	-0.022862	0.151604	-0.002148	-0.009396	-0.015134	-0.012348	-0.001759	1.066754	-0.00206	-0.023656	3.537523	2.016032	-0.008192	0.16002	-0.012021	2.156015	0.485114	-0.002036	-0.013875	-0.012273	-0.011011	-0.008604	0.36394	-0.010788	-0.009967	-0.027705	-0.015555	-0.001426	-0.011776	1.357992	3.102826	0.923685	-0.002081	-0.016426	0.476123	-0.015514	-0.005112	2.008695	-0.019644	2.380466	0.808832	-0.019568	-0.010818	-0.011118	1.994061	4.560116	-0.009355	2.744222	-0.001803	0.889854	-0.015384	0.267512	-0.018628	-0.01091	-0.019239	4.031812	-0.000914	0.324463	0.460748	IL	125
3J7Q_5:2847-2850_3840-3841	-0.004993	-0.030684	2.079247	1.690759	0.730494	0.936564	-0.004549	0.92633	0.895578	-0.009167	-0.007929	0.660457	-0.018837	1.024	-0.028533	2.088382	0.779792	-0.00841	0.088163	2.659901	-0.036251	-0.010875	-0.010909	0.846019	1.618911	0.536782	-0.004707	0.474892	3.214331	-0.001656	0.122988	-0.001183	-0.007063	1.708316	1.110261	0.109519	-0.007021	0.968361	0.886038	0.154628	0.387987	0.561938	0.597084	0.054712	0.159101	1.733558	0.099269	-0.012442	2.005159	1.767332	-0.01814	-0.000385	-0.036164	1.550704	2.055922	0.423063	-0.031848	-0.00249	-0.004762	2.11457	0.12439	0.678239	1.162202	2.648823	0.254056	1.577662	1.14891	-0.043249	2.525953	-0.014759	-0.000411	-0.00753	-0.00605	-0.014325	-0.014736	0.215041	0.86018	-0.014298	-0.023993	3.328496	0.76345	0.420852	1.422153	0.028609	0.940005	0.297455	-0.003074	-0.013232	-0.006122	-0.00343	-0.004207	-0.010203	-0.013024	-0.002621	-0.02695	-0.010789	0.492602	-0.018893	0.148955	1.893557	-0.002537	0.877709	-0.012091	0.709728	-0.019483	-0.006676	0.82039	-0.019188	2.873192	0.237534	-0.020388	-0.007704	-0.014542	1.296222	4.124936	-0.007877	2.044206	0.463643	-0.001569	-0.013223	0.912498	-0.022466	-0.009991	-0.020433	2.785949	-0.000913	1.51659	0.683507	IL	13
3CZW_X:7-9_10-12	-0.00492	-0.019124	3.164541	1.849361	0.835305	0.710299	-0.008064	2.129232	0.335956	0.755369	-0.0039	0.233114	-0.027925	1.28576	-0.018571	1.537261	-0.008183	-0.007987	-0.006455	2.461454	-0.030525	-0.012938	-0.016244	-0.001303	1.352262	0.642257	-0.010465	-0.003958	2.648224	-0.00558	-0.012221	-0.006695	-0.016563	3.116599	1.185624	0.16035	-0.011741	-0.006079	1.25592	0.812107	0.119217	1.214932	1.864149	-0.011353	0.295568	3.224661	0.428539	-0.014975	1.562741	2.606512	-0.018267	-0.006491	-0.019874	1.137323	1.305487	1.074918	-0.023514	-0.006555	1.326045	2.09518	-0.003401	2.440114	-0.009106	2.05466	0.569574	1.086261	0.865603	-0.032188	2.094521	-0.02349	-0.004007	0.196068	-0.009391	-0.007058	-0.007488	-0.008661	2.164608	0.160164	-0.02491	2.674249	1.233036	-0.00411	-0.000267	-0.011853	2.020493	0.00319	-0.014286	-0.012576	-0.013062	0.041314	-0.016612	0.653008	-0.011148	0.674048	-0.023006	-0.007522	-0.006646	-0.0087	0.924428	2.648516	0.629548	0.395923	-0.020359	-0.007166	-0.014284	0.117456	1.68846	-0.019984	1.554402	-0.002708	-0.019862	-0.014239	-0.011011	1.749781	2.846931	-0.006321	2.320812	-0.007469	0.165124	-0.016217	-0.001739	-0.014052	0.592259	-0.012724	2.740405	-0.004668	0.608282	0.653445	IL	59
6AZ1_1:1463-1470_1481-1486	-0.003719	3.548282	-0.01408	-0.022328	-0.010396	-0.017227	-0.013135	-0.020235	-0.023656	5.364929	-0.001885	-0.01943	-0.019304	-0.024716	4.094759	-0.025366	-0.004115	0.417855	-0.020697	-0.026867	4.387597	1.957976	-0.003786	-0.018948	-0.022063	-0.023298	-0.008926	-0.03007	-0.022404	-0.024591	-0.035495	-0.005112	-0.015588	-0.013418	0.370918	-0.010017	1.344075	-0.017138	-0.005812	0.579435	-0.015239	1.673944	-0.010357	-0.024028	-0.022041	1.430797	1.00582	-0.014955	-0.0227	-0.050942	-0.02845	-0.019499	1.256521	-0.001302	-0.029035	0.714372	3.956192	-0.006928	2.051694	-0.025158	-0.001667	-0.008389	-0.032362	-0.040183	-0.030406	-0.017285	-0.005505	4.138076	-0.005092	-0.018403	1.61647	1.055622	-0.008332	0.169301	-0.000391	1.049002	2.263438	0.808138	5.61591	-0.019235	-0.006627	1.11407	-0.005236	-0.018946	-0.018213	1.231878	-0.015626	3.148779	-0.004831	2.480986	-0.016618	2.417447	-0.017913	4.741553	-0.002426	2.64614	-0.010638	5.117322	1.359008	-0.00559	-0.026636	-0.005094	-0.027447	0.900869	1.09071	-0.008685	-0.011335	-0.027918	-0.004946	-0.004308	-0.021656	-0.002052	-0.036083	-0.027133	-0.032505	-0.001478	-0.023689	1.277366	1.265374	2.756659	-0.003284	4.232669	3.274619	4.581996	-0.014576	-0.032456	1.95689	-0.037671	IL	197
5V93_a:495-502_531-532	-0.004359	1.423296	-0.028278	-0.004394	-0.004264	-0.004309	0.462252	-0.0262	0.603902	-0.004173	-0.016277	3.201854	0.083073	-0.004831	-0.027279	0.160554	1.164877	3.09149	-0.002936	-0.015899	0.271044	0.314509	-0.005565	-0.017371	0.156369	0.785859	2.150914	1.606963	1.817179	-0.008362	1.768537	-0.008927	0.023642	-0.01074	0.335252	0.325873	2.76264	1.086406	-0.011042	-0.005055	0.837052	1.071973	-0.023239	1.797109	0.197716	-0.010541	0.556861	-0.021916	0.706292	-0.020455	0.515974	0.401067	-0.001598	-0.010185	1.11963	-0.002981	-0.027952	0.923563	-0.010424	0.230156	1.543385	0.055562	2.106757	0.365407	-0.002104	0.100899	0.062295	-0.005839	0.258264	0.735735	1.036469	1.104656	-0.002616	-0.014447	-0.012623	1.92629	1.761338	-0.007955	-0.022437	1.419785	0.191666	3.321447	1.780723	0.526835	-0.012161	2.516013	1.160233	0.211187	-0.00512	0.222801	0.693361	-0.013306	-0.001275	-0.000949	-0.003665	0.909877	1.01978	-0.014129	-0.014652	-0.008195	-0.014002	0.059267	0.163993	3.865487	0.423236	-0.007175	0.288333	-0.001681	0.447269	0.743898	-0.01382	2.530391	-0.02511	0.952025	1.330762	-0.007937	-0.007006	1.640851	0.332039	-0.002445	1.640388	-0.000318	-0.000645	0.491161	0.464518	-0.00329	3.615199	0.375624	IL	90
6HA1_A:1573-1576_1590-1594	-0.006056	-0.024341	-0.013739	1.962222	0.841979	1.315407	0.973711	-0.021426	1.245191	-0.001762	-0.027992	2.109721	-0.006677	1.056133	-0.046724	1.222055	0.535144	-0.004487	0.617557	0.335786	-0.017758	-0.013885	0.335173	-0.009509	1.614062	1.983459	-0.000522	-0.001668	3.240864	0.648169	-0.001582	-0.003179	0.329912	1.560612	2.615425	-0.00458	-0.002749	1.744292	0.617004	0.282758	1.19115	-0.009235	-0.019068	1.732448	1.249777	0.697162	1.023222	-0.011704	-0.004019	-0.005795	-0.014751	0.741856	-0.0217	0.138069	2.131194	0.049803	-0.046086	-0.008533	-0.007883	2.056513	0.972192	-0.021187	1.017446	-0.011672	-0.00882	-0.001128	1.104307	-0.041691	-0.00393	0.114895	0.044674	-0.010069	-0.005624	-0.031886	-0.017191	-0.002185	1.267833	-0.024232	-0.033449	3.182528	-0.000242	1.379769	2.752011	1.24699	-0.009154	0.015283	-0.014243	-0.004344	-0.003482	0.995635	0.22933	-0.016797	-0.015898	-0.005159	-0.025166	0.125357	1.111511	-0.030837	-0.021284	0.336367	-0.024389	0.631018	-0.005524	0.902132	-0.017601	-0.013925	-0.013818	-0.012966	2.492295	-0.00763	-0.010463	-0.004294	-0.012205	1.099968	2.480072	-0.009746	-0.001255	-0.002739	-0.015096	-0.013067	0.686689	-0.033125	-0.012953	-0.010067	0.820855	0.371281	1.36335	1.642135	IL	375
